time s	psi(t) rad	time s (max)	psi Max	derivative psiMax	J	time s (min)	psi Min	derivative psiMin
0.0000	0.68708	3.0139	1.4522	0.021817		0.91727	-0.49902	0.23256
0.13104	0.79778	5.7657	1.5123	0.021424		3.4070	0.080003	0.093062
0.26208	0.89203	8.3864	1.5684	0.082681		6.1588	0.33609	-0.020402
0.39311	0.91494	11.269	1.8068	0.024196		8.7796	0.28262	0.066746
0.52415	0.12525	14.021	1.8734	-0.041163		11.662	0.47504	0.041975
0.65519	-0.41301	16.642	1.7655	0.011727		14.545	0.59604	-0.036219
0.78623	-0.49457	19.394	1.7977	0.0059134		17.166	0.50112	0.10840
0.91727	-0.49902	22.014	1.8132	-0.041148		20.311	0.84203	-0.066359
1.0483	-0.43981	24.635	1.7054	0.034876		22.539	0.69420	-0.053544
1.1793	-0.33584	27.256	1.7968	0.0026801		25.159	0.55387	-0.013952
1.3104	-0.17639	30.008	1.8042	9.9206e-05		27.780	0.51731	0.0055104
1.4414	0.0053665	32.629	1.8044	0.082097		30.401	0.53175	0.015109
1.5725	0.54508	35.511	2.0411	0.067797		33.153	0.57333	0.060166
1.7035	0.59783	38.263	2.2277	-0.0014063		36.036	0.74678	0.043956
1.8345	0.66356	41.015	2.2238	0.12305		38.918	0.87350	-0.038017
1.9656	0.75161	44.029	2.5947	0.050485		41.539	0.77386	0.29678
2.0966	0.87367	46.781	2.7336	0.092190		44.946	1.7850	0.018898
2.2276	1.0003	49.795	3.0114	0.029560		47.305	1.8296	-0.014920
2.3587	1.1912	52.546	3.0928	0.16502		50.188	1.7866	0.074675
2.4897	1.2768	55.560	3.5901	0.0065390		52.939	1.9921	0.066828
2.6208	1.3293	58.181	3.6073	0.012038		55.822	2.1847	0.077426
2.7518	1.3995	60.933	3.6404	0.038829		58.705	2.4079	-0.013815
2.8828	1.4474	63.685	3.7473	0.022658		61.326	2.3717	0.041513
3.0139	1.4522	66.305	3.8066	-0.0060838		64.078	2.4859	-0.0047648
3.1449	1.4168	68.926	3.7907	-0.00076135		66.829	2.4728	0.0077685
3.2760	0.12763	71.547	3.7887	-0.0092845		69.450	2.4932	-0.010100
3.4070	0.080003	74.299	3.7632	0.056653		72.202	2.4654	-0.031657
3.5380	0.16186	77.182	3.9265	0.038106		74.692	2.3866	0.080718
3.6691	0.26398	79.802	4.0263	-0.018312		77.575	2.6193	0.013224
3.8001	0.37544	82.423	3.9783	0.023031		80.326	2.6557	-0.040410
3.9311	0.45459	85.044	4.0387	0.067689		82.947	2.5498	0.013892
4.0622	0.51871	88.189	4.2516	0.0022114		85.568	2.5862	0.12726
