time s	psi(t) rad	time s (max)	psi Max	derivative psiMax	 	time s (min)	psi Min	derivative psiMin
0.0000	1.2027	0.99407	1.9141	0.018650		1.2781	0.66252	0.065269
0.14201	1.3905	2.8402	1.9485	-0.015182		3.1242	0.78302	0.012526
0.28402	1.5527	4.5443	1.9226	0.027967		4.9703	0.80614	0.062486
0.42603	1.6648	6.5324	1.9782	0.12250		6.8165	0.92150	0.059482
0.56804	1.8045	8.5206	2.2218	0.65023		8.8046	1.0398	0.58144
0.71005	1.8564	10.935	3.7916	0.44977		11.361	2.5260	0.45885
0.85206	1.8842	13.491	4.9413	0.56067		13.917	3.6989	0.58436
0.99407	1.9141	16.331	6.5337	0.17025		16.615	5.2756	0.092501
1.1361	1.8846	18.319	6.8721	-0.083665		18.745	5.4727	-0.041565
1.2781	0.66252	20.023	6.7296	0.24094		20.449	5.4018	0.28566
1.4201	0.73914	22.153	7.2428	0.30804		22.437	5.9697	0.41392
1.5621	0.89350	24.426	7.9427	0.091088		24.710	6.9102	-0.0020674
1.7041	1.0265	26.272	8.1109	0.022108		26.556	6.9064	0.016386
1.8461	1.1819	28.118	8.1517	0.056025		28.544	6.9390	0.053342
1.9881	1.4040	30.106	8.2631	0.024660		30.390	7.0375	0.059574
2.1301	1.6110	31.952	8.3086	0.51719		32.236	7.1475	0.59389
2.2722	1.7534	34.508	9.6306	0.14151		34.792	8.6655	0.034946
2.4142	1.8563	36.354	9.8919	0.27455		36.780	8.7350	0.19564
2.5562	1.8872	38.769	10.555	0.67422		39.053	9.1795	0.62474
2.6982	1.9242	41.609	12.470	0.32616		41.893	10.954	0.33148
2.8402	1.9485	43.739	13.164	0.32672		44.023	11.660	0.34412
2.9822	1.6742	46.153	13.953	0.22720		46.437	12.491	0.47435
3.1242	0.78302	48.141	14.405	-0.024814		48.709	13.569	-0.087254
3.2662	0.88500	49.987	14.359	0.016410		50.271	13.432	0.028593
3.4082	1.0102	51.833	14.389	0.0010085		52.117	13.485	-0.081584
3.5502	1.1574	53.538	14.391	-0.024482		53.964	13.334	0.011460
3.6922	1.3378	55.384	14.346	-0.037094		55.810	13.356	-0.10490
3.8343	1.5548	57.230	14.277	0.035053		57.514	13.177	0.029197
3.9763	1.7083	58.934	14.337	0.0030230		59.360	13.231	-0.0013524
