time s	psi(t) rad	time s (max)	psi Max	derivative psiMax	 	time s (min)	psi Min	derivative psiMin
0.0000	-1.2775	0.26272	-0.72364	-0.0085085		0.39408	-2.0098	0.089699
0.13136	-0.83512	1.0509	-0.73034	-0.025467		1.3136	-1.9273	-0.095485
0.26272	-0.72364	1.9704	-0.75376	-0.12378		2.1018	-2.0026	-0.070317
0.39408	-2.0098	2.7586	-0.85132	0.16441		2.8899	-2.0580	0.12560
0.52544	-1.9006	3.5467	-0.72174	-0.18437		3.6781	-1.9590	-0.049368
0.65680	-1.4874	4.3349	-0.86705	-0.12456		4.5976	-2.0044	-0.11624
0.78816	-1.1483	5.1230	-0.96522	0.019573		5.3858	-2.0960	0.067040
0.91952	-0.90108	6.0426	-0.94722	0.11621		6.1739	-2.0432	0.066000
1.0509	-0.73034	6.8307	-0.85563	-0.079677		6.9621	-1.9911	-0.015257
1.1822	-1.8382	7.6189	-0.91843	0.10329		7.8816	-2.0052	-0.034284
1.3136	-1.9273	8.5384	-0.82345	-0.070434		8.6698	-2.0322	-0.0095880
1.4450	-1.6108	9.3266	-0.87897	0.078627		9.4579	-2.0398	0.060752
1.5763	-1.2187	10.246	-0.80667	0.15596		10.377	-1.9839	0.12332
1.7077	-0.96713	11.034	-0.68375	-0.0054571		11.297	-1.8705	-0.074737
1.8390	-0.76073	11.822	-0.68805	0.14012		12.085	-1.9294	0.18295
1.9704	-0.75376	12.742	-0.55920	0.026076		12.873	-1.7852	-0.024199
2.1018	-2.0026	13.530	-0.53865	0.070030		13.793	-1.8075	0.082174
2.2331	-1.8165	14.450	-0.47426	0.042141		14.581	-1.7427	0.10675
2.3645	-1.3483	15.369	-0.43551	0.12132		15.500	-1.6445	0.12873
2.4958	-1.0946	16.157	-0.33988	-0.062741		16.289	-1.5431	0.058503
2.6272	-0.91570	16.945	-0.38933	0.11317		17.208	-1.4893	0.19033
2.7586	-0.85132	17.865	-0.28527	0.061662		17.996	-1.3393	0.017739
2.8899	-2.0580	18.653	-0.23667	0.0051940		18.916	-1.3230	0.015754
3.0213	-1.8836	19.573	-0.23190	0.017840		19.704	-1.3105	0.14171
3.1526	-1.5132	20.361	-0.21784	-0.064338		20.624	-1.1802	-0.020918
3.2840	-1.1632	21.149	-0.26855	0.36039		21.412	-1.1967	0.032985
3.4154	-0.94435	22.068	0.062841	-0.42350		22.200	-1.1707	0.087448
3.5467	-0.72174	22.857	-0.27094	0.33029		23.119	-1.0903	-0.046754
3.6781	-1.9590	23.776	0.032769	-0.15201		23.908	-1.1272	0.21541
3.8094	-1.9280	24.564	-0.087039	0.25945		24.827	-0.92909	0.055825
3.9408	-1.6247	25.484	0.15153	0.24137		25.615	-0.88509	0.19913
4.0722	-1.2665	26.272	0.34177	0.55486		26.535	-0.70199	0.22192
4.2035	-1.0457	27.192	0.85198	0.018714		27.454	-0.49793	0.33186
4.3349	-0.86705	28.111	0.86919	0.21771		28.242	-0.23637	0.24757
4.4662	-1.9447	29.031	1.0694	0.078863		29.162	-0.0087194	0.12173
4.5976	-2.0044	29.819	1.1315	0.088999		29.950	0.087220	-0.0096786
4.7290	-1.7367	30.738	1.2134	0.065045		30.870	0.078321	0.12702
4.8603	-1.3622	31.526	1.2646	0.048928		31.658	0.17843	0.017980
4.9917	-1.1268	32.446	1.3096	0.036019		32.577	0.19496	0.045370
5.1230	-0.96522	33.234	1.3380	0.14427		33.365	0.23072	0.23754
5.2544	-2.0839	34.154	1.4707	0.11971		34.285	0.44914	0.15789
5.3858	-2.0960	34.942	1.5650	0.19640		35.204	0.59433	0.17154
5.5171	-1.8765	35.861	1.7456	0.084695		35.993	0.72953	0.058035
5.6485	-1.4861	36.649	1.8124	0.22789		36.912	0.78289	0.087309
5.7798	-1.1823	37.569	2.0219	0.11615		37.700	0.85171	0.15177
5.9112	-1.0007	38.357	2.1135	0.073658		38.620	0.99126	0.10240
6.0426	-0.94722	39.277	2.1812	0.22537		39.408	1.0720	0.13107
6.1739	-2.0432	40.065	2.3588	0.26038		40.328	1.1925	0.11672
6.3053	-1.9079	40.984	2.5983	0.087332		41.116	1.2845	0.44967
6.4366	-1.5646	41.904	2.6786	0.45148		42.035	1.6980	0.46185
6.5680	-1.2514	42.823	3.0937	0.33977		42.955	2.1226	0.19648
6.6994	-1.0144	43.743	3.4061	0.047946		43.874	2.3033	0.11732
6.8307	-0.85563	44.531	3.4439	0.0058121		44.662	2.3958	-0.035209
6.9621	-1.9911	45.451	3.4493	0.093436		45.582	2.3634	0.19460
7.0934	-1.9695	46.239	3.5229	0.36956		46.370	2.5168	0.33133
7.2248	-1.7330	47.158	3.8627	-0.25644		47.421	2.8650	-0.30180
7.3562	-1.3565	47.946	3.6606	0.021954		48.078	2.6667	0.080345
7.4875	-1.1315	48.735	3.6779	0.22873		48.997	2.7406	0.055239
7.6189	-0.91843	49.654	3.8882	0.060732		49.785	2.7842	0.25275
7.7502	-1.6209	50.442	3.9361	0.064067		50.705	3.0166	0.085324
7.8816	-2.0052	51.362	3.9950	0.20378		51.624	3.0950	0.35078
8.0130	-1.7970	52.281	4.1824	0.16238		52.413	3.3715	0.16851
8.1443	-1.4090	53.069	4.3104	0.29275		53.332	3.5265	0.14727
8.2757	-1.1408	53.989	4.5796	0.088070		54.252	3.6619	-0.039489
8.4070	-0.91810	54.908	4.6605	0.27975		55.040	3.6308	0.33257
8.5384	-0.82345	55.697	4.8810	0.19798		55.959	3.9366	0.094487
8.6698	-2.0322	56.616	5.0631	-0.011369		56.748	4.0110	-0.021755
8.8011	-1.9443	57.404	5.0541	0.12047		57.667	3.9910	0.026243
8.9325	-1.6175	58.324	5.1649	-0.041382		58.455	4.0117	0.091317
9.0638	-1.2487	59.112	5.1323	-0.021020		59.243	4.0837	-0.054981
9.1952	-1.0192	59.900	5.1157	0.084756		60.163	4.0331	0.11655
9.3266	-0.87897	60.820	5.1936	0.019070		60.951	4.1250	0.024315
9.4579	-2.0398	61.608	5.2087	-0.044102		61.871	4.1473	0.021930
9.5893	-1.9899	62.396	5.1739	0.089273		62.659	4.1646	-0.084453
9.7206	-1.6965	63.316	5.2560	0.046570		63.447	4.0981	0.10620
9.8520	-1.2403	64.104	5.2927	0.040356		64.235	4.1818	-0.044427
9.9834	-1.0360	64.892	5.3245	-0.025256		65.155	4.1409	-0.022869
10.115	-0.81139	65.811	5.3013	0.075930		65.943	4.1229	0.064896
10.246	-0.80667	66.600	5.3611	-0.15900		66.862	4.1826	0.0045206
10.377	-1.9839	67.388	5.2358	-0.10042		67.650	4.1861	-0.032931
10.509	-1.8179	68.176	5.1567	0.068153		68.439	4.1602	0.087255
10.640	-1.4138	69.095	5.2193	0.056763		69.227	4.2289	0.018677
10.772	-1.1289	69.884	5.2641	-0.057248		70.146	4.2461	-0.075121
10.903	-0.87257	70.672	5.2190	-0.025140		70.934	4.1869	-0.041373
11.034	-0.68375	71.591	5.1958	-0.0079667		71.723	4.1543	0.048390
11.166	-1.8608	72.379	5.1896	0.064827		72.511	4.1924	-0.030538
11.297	-1.8705	73.168	5.2407	-0.15112		73.430	4.1644	-0.037645
11.428	-1.4750	73.956	5.1215	0.10181		74.218	4.1347	0.028711
11.560	-1.1517	74.875	5.2152	0.0086829		75.007	4.1573	0.015338
11.691	-0.89535	75.663	5.2220	-0.047626		75.795	4.1694	-0.016362
11.822	-0.68805	76.452	5.1845	0.11706		76.714	4.1544	0.023924
11.954	-0.78456	77.371	5.2921	-0.15556		77.502	4.1732	-0.0020121
12.085	-1.9294	78.159	5.1695	0.14661		78.422	4.1714	0.061666
12.216	-1.6952	79.079	5.3043	0.026843		79.210	4.2200	-0.0091310
12.348	-1.2600	79.867	5.3255	-0.049707		80.130	4.2116	-0.043434
12.479	-0.97242	80.655	5.2863	-0.12295		80.918	4.1773	0.021625
12.611	-0.73515	81.575	5.1732	0.099182		81.706	4.1944	0.0019996
12.742	-0.55920	82.363	5.2514	0.059407		82.625	4.1962	0.059378
12.873	-1.7852	83.282	5.3060	0.00024200		83.414	4.2430	0.032462
13.005	-1.7406	84.070	5.3062	-0.014249		84.333	4.2729	0.060191
13.136	-1.3039	84.859	5.2950	0.17579		85.121	4.3203	0.14924
13.267	-1.0282	85.778	5.4566	-0.064266		86.041	4.4575	0.036407
13.399	-0.75585	86.566	5.4060	0.12373		86.829	4.4862	0.11087
13.530	-0.53865	87.486	5.5198	0.093974		87.748	4.5882	-0.0048691
13.661	-0.65101	88.274	5.5938	-0.076210		88.537	4.5843	0.17056
13.793	-1.8075	89.062	5.5338	0.097965		89.325	4.7188	0.035835
13.924	-1.4704	89.982	5.6238	0.0012971		90.244	4.7517	-0.018034
14.056	-1.0798	90.770	5.6249	0.051725		91.032	4.7375	0.041004
