"time"	"max"
"1"	0.2764	-1.0072
"2"	2.4876	-1.7236
"3"	2.6258	-1.8636
"4"	2.9022	-1.8454
"5"	3.0404	-1.8063
"6"	3.1786	-1.7435
"7"	4.2842	-1.136
"8"	6.4954	-1.512
"9"	6.6336	-1.9606
"10"	6.7718	-2.0178
"11"	6.91	-2.0041
"12"	7.3246	-1.8255
"13"	10.78	-2.0428
"14"	10.918	-2.0969
"15"	11.332	-2.0359
"16"	11.609	-1.9067
"17"	13.405	-1.0179
"18"	14.096	-0.81213
"19"	15.064	-1.9252
"20"	15.202	-2.0861
"21"	15.478	-2.0567
"22"	15.617	-2.0154
"23"	16.031	-1.7842
"24"	16.86	-1.2363
"25"	19.348	-1.337
"26"	19.486	-1.9262
"27"	19.624	-2.0266
"28"	20.315	-1.8237
"29"	21.006	-1.3681
"30"	22.25	-0.89366
"31"	22.665	-0.79811
"32"	23.909	-1.5985
"33"	24.047	-1.733
"34"	24.185	-1.7761
"35"	24.323	-1.7634
"36"	26.534	-0.49921
"37"	27.778	-1.3528
"38"	27.916	-1.5322
"39"	28.055	-1.5344
"40"	28.193	-1.5145
"41"	28.884	-1.1064
"42"	29.022	-1.0322
"43"	29.851	-0.71777
"44"	29.989	-0.65505
"45"	30.128	-0.60807
"46"	30.68	-0.30804
"47"	30.819	-0.24641
"48"	30.957	-0.2009
"49"	32.201	-0.041669
"50"	32.339	-1.2238
"51"	32.892	-1.1229
"52"	33.168	-1.0216
"53"	34.135	-0.63494
"54"	34.274	-0.51608
"55"	34.55	-0.40093
"56"	34.688	-0.33358
"57"	34.826	-0.24318
"58"	37.452	1.0753
"59"	37.59	1.1256
"60"	38.558	0.40289
"61"	43.533	2.6816
"62"	47.126	2.3459
"63"	47.264	2.3952
"64"	50.996	2.1397
"65"	55.556	2.446
"66"	64.401	5.4086
"67"	70.067	5.7959
"68"	70.206	5.8658
"69"	75.595	6.0892
"70"	81.262	6.5021
"71"	86.79	6.8104
"72"	86.928	6.8193
"73"	97.016	6.9052
"74"	97.155	6.9205
"75"	97.707	6.2605
"76"	102.13	6.988
"77"	102.27	6.9831
"78"	107.38	7.1672
"79"	112.63	7.2976
"80"	112.77	7.338
"81"	117.47	7.2327
"82"	117.75	7.2255
"83"	123	7.4218
"84"	127.7	7.4026
"85"	127.83	7.4214
"86"	127.97	7.43
"87"	133.22	7.5625
"88"	133.36	7.5739
"89"	138.34	7.5911
"90"	143.45	7.75
"91"	143.59	7.7571
"92"	143.73	7.7735
"93"	148.7	7.9212
"94"	148.84	7.9365
"95"	154.23	8.253
"96"	161.42	9.4031
"97"	172.75	10.377
"98"	172.89	10.401
"99"	178.55	10.901
"100"	178.69	10.923
"101"	184.08	11.232
"102"	184.22	11.242
"103"	196.52	12.963
"104"	192.1	12.982
"105"	197.21	13.215
"106"	202.46	13.354
"107"	202.74	13.377
"108"	208.27	13.732
"109"	223.05	14.018
"110"	213.8	14.019
"111"	218.63	14.071
"112"	218.77	14.101
"113"	224.02	14.177
"114"	229.14	14.421
"115"	238.12	14.45
"116"	229.41	14.48
"117"	235.08	14.96
"118"	240.05	14.927
"119"	245.03	15.103
"120"	245.17	15.12
"121"	245.3	15.138
