time s (max+min)	omega rad/s	omegaC average (rad/s)	omegaC(t) rad/s	viscosity (Pa s)	average
2.9005	0.76020	0.13000	0.056032	73.833	24.460
12.327	0.76020	0.13000	0.090949	45.487	24.460
13.197	0.76020	0.13000	0.11866	34.866	24.460
21.609	0.76020	0.13000	0.26209	15.784	24.460
26.830	0.76020	0.13000	0.26039	15.888	24.460
27.410	0.76020	0.13000	0.34375	12.035	24.460
36.257	0.76020	0.13000	0.082406	50.203	24.460
36.837	0.76020	0.13000	0.093864	44.074	24.460
40.897	0.76020	0.13000	0.12343	33.517	24.460
41.477	0.76020	0.13000	0.21460	19.278	24.460
45.683	0.76020	0.13000	0.29452	14.046	24.460
46.263	0.76020	0.13000	0.23231	17.808	24.460
51.339	0.76020	0.13000	0.13406	30.859	24.460
59.606	0.76020	0.13000	0.065455	63.203	24.460
64.247	0.76020	0.13000	0.31324	13.207	24.460
65.262	0.76020	0.13000	0.37576	11.010	24.460
69.177	0.76020	0.13000	0.12211	33.879	24.460
70.048	0.76020	0.13000	0.36439	11.353	24.460
74.108	0.76020	0.13000	0.14256	29.020	24.460
78.749	0.76020	0.13000	0.10204	40.544	24.460
83.390	0.76020	0.13000	0.15836	26.124	24.460
84.115	0.76020	0.13000	0.13920	29.720	24.460
88.031	0.76020	0.13000	0.11567	35.765	24.460
88.901	0.76020	0.13000	0.14863	27.835	24.460
92.962	0.76020	0.13000	0.19567	21.142	24.460
93.542	0.76020	0.13000	0.21891	18.898	24.460
98.618	0.76020	0.13000	0.12842	32.215	24.460
102.39	0.76020	0.13000	0.20146	20.535	24.460
103.26	0.76020	0.13000	0.091134	45.395	24.460
107.17	0.76020	0.13000	0.23919	17.296	24.460
108.04	0.76020	0.13000	0.25101	16.482	24.460
112.25	0.76020	0.13000	0.34248	12.079	24.460
112.98	0.76020	0.13000	0.35119	11.780	24.460
117.62	0.76020	0.13000	0.12618	32.787	24.460
118.20	0.76020	0.13000	0.25106	16.478	24.460
122.11	0.76020	0.13000	0.38698	10.690	24.460
123.27	0.76020	0.13000	0.20281	20.398	24.460
127.62	0.76020	0.13000	0.28432	14.551	24.460
128.20	0.76020	0.13000	0.41073	10.072	24.460
132.70	0.76020	0.13000	0.32969	12.548	24.460
133.57	0.76020	0.13000	0.32812	12.608	24.460
138.21	0.76020	0.13000	0.17517	23.616	24.460
138.79	0.76020	0.13000	0.19145	21.609	24.460
142.85	0.76020	0.13000	0.056663	73.010	24.460
147.49	0.76020	0.13000	0.16103	25.690	24.460
152.28	0.76020	0.13000	0.13183	31.382	24.460
152.86	0.76020	0.13000	0.21777	18.997	24.460
157.06	0.76020	0.13000	0.27982	14.784	24.460
157.64	0.76020	0.13000	0.22118	18.705	24.460
162.72	0.76020	0.13000	0.15922	25.982	24.460
166.49	0.76020	0.13000	0.28490	14.521	24.460
167.22	0.76020	0.13000	0.18127	22.822	24.460
171.42	0.76020	0.13000	0.13114	31.546	24.460
172.15	0.76020	0.13000	0.14177	29.180	24.460
180.70	0.76020	0.13000	0.15135	27.334	24.460
181.57	0.76020	0.13000	0.18865	21.930	24.460
185.63	0.76020	0.13000	0.28886	14.322	24.460
191.00	0.76020	0.13000	0.086899	47.607	24.460
194.77	0.76020	0.13000	0.18786	22.022	24.460
195.50	0.76020	0.13000	0.19889	20.801	24.460
199.70	0.76020	0.13000	0.12910	32.045	24.460
200.43	0.76020	0.13000	0.11742	35.233	24.460
204.34	0.76020	0.13000	0.12040	34.359	24.460
209.13	0.76020	0.13000	0.15626	26.475	24.460
210.00	0.76020	0.13000	0.16937	24.425	24.460
214.06	0.76020	0.13000	0.19093	21.667	24.460
214.64	0.76020	0.13000	0.27445	15.074	24.460
222.62	0.76020	0.13000	0.28062	14.742	24.460
223.63	0.76020	0.13000	0.19242	21.499	24.460
227.98	0.76020	0.13000	0.16966	24.383	24.460
232.77	0.76020	0.13000	0.41381	9.9972	24.460
233.49	0.76020	0.13000	0.41959	9.8596	24.460
238.42	0.76020	0.13000	0.53567	7.7231	24.460
239.00	0.76020	0.13000	0.52559	7.8711	24.460
245.24	0.76020	0.13000	0.40368	10.248	24.460
245.82	0.76020	0.13000	0.40691	10.167	24.460
250.61	0.76020	0.13000	0.22175	18.656	24.460
251.33	0.76020	0.13000	0.18825	21.976	24.460
255.68	0.76020	0.13000	0.12506	33.080	24.460
256.26	0.76020	0.13000	0.25647	16.131	24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
	0.76020	0.13000			24.460
