time s (max+min)	omega rad/s	omegaC average (rad/s)	omegaC(t) rad/s	viscosity (Pa s)	viscosity average (Pas)
0.39408	3.7825	0.13000	0.81886	5.0522	7.2073
2.7586	3.7825	0.13000	1.1030	3.7505	7.2073
2.8899	3.7825	0.13000	0.96663	4.2798	7.2073
5.1230	3.7825	0.13000	0.38430	10.765	7.2073
5.3858	3.7825	0.13000	0.70899	5.8351	7.2073
6.0426	3.7825	0.13000	0.93039	4.4465	7.2073
6.1739	3.7825	0.13000	0.70351	5.8805	7.2073
7.6189	3.7825	0.13000	0.87790	4.7124	7.2073
9.3266	3.7825	0.13000	0.76722	5.3922	7.2073
9.4579	3.7825	0.13000	0.67520	6.1271	7.2073
10.246	3.7825	0.13000	1.0750	3.8485	7.2073
10.377	3.7825	0.13000	0.95795	4.3186	7.2073
11.822	3.7825	0.13000	1.0200	4.0559	7.2073
12.085	3.7825	0.13000	1.1621	3.5599	7.2073
12.742	3.7825	0.13000	0.44337	9.3307	7.2073
13.530	3.7825	0.13000	0.72448	5.7103	7.2073
13.793	3.7825	0.13000	0.78415	5.2758	7.2073
14.450	3.7825	0.13000	0.56305	7.3475	7.2073
14.581	3.7825	0.13000	0.89227	4.6365	7.2073
15.369	3.7825	0.13000	0.95031	4.3533	7.2073
15.500	3.7825	0.13000	0.97840	4.2283	7.2073
16.289	3.7825	0.13000	0.66268	6.2428	7.2073
16.945	3.7825	0.13000	0.91832	4.5050	7.2073
17.208	3.7825	0.13000	1.1847	3.4919	7.2073
17.865	3.7825	0.13000	0.68019	6.0821	7.2073
17.996	3.7825	0.13000	0.36590	11.306	7.2073
18.653	3.7825	0.13000	0.19816	20.878	7.2073
18.916	3.7825	0.13000	0.34486	11.996	7.2073
19.573	3.7825	0.13000	0.36694	11.274	7.2073
19.704	3.7825	0.13000	1.0256	4.0336	7.2073
21.149	3.7825	0.13000	1.6114	2.5674	7.2073
21.412	3.7825	0.13000	0.49844	8.3000	7.2073
22.200	3.7825	0.13000	0.80864	5.1160	7.2073
22.857	3.7825	0.13000	1.5458	2.6762	7.2073
23.908	3.7825	0.13000	1.2583	3.2879	7.2073
24.564	3.7825	0.13000	1.3767	3.0049	7.2073
24.827	3.7825	0.13000	0.64745	6.3897	7.2073
25.484	3.7825	0.13000	1.3296	3.1116	7.2073
25.615	3.7825	0.13000	1.2111	3.4159	7.2073
26.272	3.7825	0.13000	1.9722	2.0976	7.2073
26.535	3.7825	0.13000	1.2765	3.2408	7.2073
27.192	3.7825	0.13000	0.37580	11.009	7.2073
27.454	3.7825	0.13000	1.5493	2.6702	7.2073
28.111	3.7825	0.13000	1.2647	3.2710	7.2073
28.242	3.7825	0.13000	1.3460	3.0737	7.2073
29.031	3.7825	0.13000	0.76836	5.3842	7.2073
29.162	3.7825	0.13000	0.95186	4.3462	7.2073
29.819	3.7825	0.13000	0.81569	5.0718	7.2073
30.738	3.7825	0.13000	0.69845	5.9231	7.2073
30.870	3.7825	0.13000	0.97198	4.2563	7.2073
31.526	3.7825	0.13000	0.60642	6.8220	7.2073
31.658	3.7825	0.13000	0.36837	11.231	7.2073
32.446	3.7825	0.13000	0.52076	7.9442	7.2073
32.577	3.7825	0.13000	0.58409	7.0828	7.2073
33.234	3.7825	0.13000	1.0347	3.9983	7.2073
33.365	3.7825	0.13000	1.3193	3.1358	7.2073
34.154	3.7825	0.13000	0.94406	4.3821	7.2073
34.285	3.7825	0.13000	1.0814	3.8255	7.2073
34.942	3.7825	0.13000	1.2030	3.4389	7.2073
35.204	3.7825	0.13000	1.1262	3.6735	7.2073
35.861	3.7825	0.13000	0.79595	5.1975	7.2073
35.993	3.7825	0.13000	0.66005	6.2677	7.2073
36.649	3.7825	0.13000	1.2931	3.1993	7.2073
36.912	3.7825	0.13000	0.80800	5.1201	7.2073
37.569	3.7825	0.13000	0.93015	4.4477	7.2073
37.700	3.7825	0.13000	1.0607	3.9003	7.2073
38.357	3.7825	0.13000	0.74283	5.5693	7.2073
38.620	3.7825	0.13000	0.87416	4.7325	7.2073
39.277	3.7825	0.13000	1.2861	3.2166	7.2073
39.408	3.7825	0.13000	0.98710	4.1911	7.2073
40.065	3.7825	0.13000	1.3791	2.9997	7.2073
40.328	3.7825	0.13000	0.93238	4.4370	7.2073
40.984	3.7825	0.13000	0.80811	5.1194	7.2073
41.116	3.7825	0.13000	1.7887	2.3128	7.2073
41.904	3.7825	0.13000	1.7921	2.3085	7.2073
42.035	3.7825	0.13000	1.8112	2.2841	7.2073
42.823	3.7825	0.13000	1.5668	2.6404	7.2073
42.955	3.7825	0.13000	1.2032	3.4382	7.2073
43.743	3.7825	0.13000	0.60034	6.8910	7.2073
43.874	3.7825	0.13000	0.93474	4.4258	7.2073
44.531	3.7825	0.13000	0.20961	19.737	7.2073
45.451	3.7825	0.13000	0.83553	4.9513	7.2073
45.582	3.7825	0.13000	1.1976	3.4544	7.2073
46.239	3.7825	0.13000	1.6307	2.5370	7.2073
46.370	3.7825	0.13000	1.5481	2.6722	7.2073
47.946	3.7825	0.13000	0.40694	10.166	7.2073
48.078	3.7825	0.13000	0.77547	5.3348	7.2073
48.735	3.7825	0.13000	1.2954	3.1936	7.2073
48.997	3.7825	0.13000	0.64407	6.4232	7.2073
49.654	3.7825	0.13000	0.67509	6.1281	7.2073
49.785	3.7825	0.13000	1.3595	3.0431	7.2073
50.442	3.7825	0.13000	0.69322	5.9678	7.2073
50.705	3.7825	0.13000	0.79887	5.1786	7.2073
51.362	3.7825	0.13000	1.2248	3.3778	7.2073
51.624	3.7825	0.13000	1.5908	2.6006	7.2073
52.281	3.7825	0.13000	1.0964	3.7734	7.2073
52.413	3.7825	0.13000	1.1164	3.7056	7.2073
53.069	3.7825	0.13000	1.4591	2.8353	7.2073
53.332	3.7825	0.13000	1.0452	3.9581	7.2073
53.989	3.7825	0.13000	0.81147	5.0981	7.2073
54.908	3.7825	0.13000	1.4276	2.8979	7.2073
55.040	3.7825	0.13000	1.5509	2.6675	7.2073
55.697	3.7825	0.13000	1.2077	3.4256	7.2073
55.959	3.7825	0.13000	0.84015	4.9241	7.2073
57.404	3.7825	0.13000	0.94702	4.3685	7.2073
57.667	3.7825	0.13000	0.44479	9.3010	7.2073
58.455	3.7825	0.13000	0.82612	5.0078	7.2073
59.900	3.7825	0.13000	0.79623	5.1957	7.2073
60.163	3.7825	0.13000	0.93172	4.4402	7.2073
60.820	3.7825	0.13000	0.37934	10.906	7.2073
60.951	3.7825	0.13000	0.42819	9.6615	7.2073
61.871	3.7825	0.13000	0.40672	10.172	7.2073
62.396	3.7825	0.13000	0.81693	5.0641	7.2073
63.316	3.7825	0.13000	0.59172	6.9915	7.2073
63.447	3.7825	0.13000	0.89001	4.6483	7.2073
64.104	3.7825	0.13000	0.55106	7.5074	7.2073
65.811	3.7825	0.13000	0.75409	5.4861	7.2073
65.943	3.7825	0.13000	0.69765	5.9299	7.2073
66.862	3.7825	0.13000	0.18487	22.378	7.2073
68.176	3.7825	0.13000	0.71479	5.7877	7.2073
68.439	3.7825	0.13000	0.80776	5.1216	7.2073
69.095	3.7825	0.13000	0.65283	6.3370	7.2073
69.227	3.7825	0.13000	0.37542	11.020	7.2073
71.723	3.7825	0.13000	0.60310	6.8596	7.2073
72.379	3.7825	0.13000	0.69729	5.9330	7.2073
73.956	3.7825	0.13000	0.87170	4.7459	7.2073
74.218	3.7825	0.13000	0.46516	8.8938	7.2073
74.875	3.7825	0.13000	0.25615	16.151	7.2073
75.007	3.7825	0.13000	0.34029	12.157	7.2073
76.452	3.7825	0.13000	0.93375	4.4305	7.2073
76.714	3.7825	0.13000	0.42475	9.7399	7.2073
78.159	3.7825	0.13000	1.0429	3.9669	7.2073
78.422	3.7825	0.13000	0.68022	6.0819	7.2073
79.079	3.7825	0.13000	0.44982	9.1969	7.2073
80.918	3.7825	0.13000	0.40389	10.243	7.2073
81.575	3.7825	0.13000	0.86051	4.8076	7.2073
81.706	3.7825	0.13000	0.12298	33.641	7.2073
82.363	3.7825	0.13000	0.66775	6.1955	7.2073
82.625	3.7825	0.13000	0.66758	6.1970	7.2073
83.414	3.7825	0.13000	0.49449	8.3662	7.2073
84.333	3.7825	0.13000	0.67210	6.1553	7.2073
84.859	3.7825	0.13000	1.1397	3.6299	7.2073
85.121	3.7825	0.13000	1.0520	3.9325	7.2073
86.041	3.7825	0.13000	0.52354	7.9020	7.2073
86.566	3.7825	0.13000	0.95952	4.3115	7.2073
86.829	3.7825	0.13000	0.90910	4.5506	7.2073
87.486	3.7825	0.13000	0.83790	4.9373	7.2073
88.537	3.7825	0.13000	1.1230	3.6838	7.2073
89.062	3.7825	0.13000	0.85528	4.8370	7.2073
89.325	3.7825	0.13000	0.51943	7.9645	7.2073
89.982	3.7825	0.13000	0.099050	41.767	7.2073
90.770	3.7825	0.13000	0.62339	6.6363	7.2073
91.032	3.7825	0.13000	0.55544	7.4481	7.2073
91.689	3.7825	0.13000	0.54331	7.6145	7.2073
91.821	3.7825	0.13000	0.52426	7.8912	7.2073
92.740	3.7825	0.13000	0.53280	7.7646	7.2073
94.054	3.7825	0.13000	1.4894	2.7775	7.2073
94.316	3.7825	0.13000	1.6798	2.4628	7.2073
94.973	3.7825	0.13000	0.62612	6.6074	7.2073
96.681	3.7825	0.13000	0.48795	8.4783	7.2073
98.257	3.7825	0.13000	0.34407	12.024	7.2073
98.520	3.7825	0.13000	0.60977	6.7845	7.2073
99.965	3.7825	0.13000	1.1712	3.5324	7.2073
100.10	3.7825	0.13000	1.7878	2.3140	7.2073
100.88	3.7825	0.13000	0.95902	4.3138	7.2073
101.02	3.7825	0.13000	0.56815	7.2816	7.2073
102.72	3.7825	0.13000	0.44821	9.2301	7.2073
103.25	3.7825	0.13000	0.69896	5.9188	7.2073
103.51	3.7825	0.13000	0.26387	15.678	7.2073
105.74	3.7825	0.13000	0.22743	18.190	7.2073
106.53	3.7825	0.13000	0.45880	9.0170	7.2073
106.80	3.7825	0.13000	0.72012	5.7448	7.2073
107.45	3.7825	0.13000	0.46469	8.9027	7.2073
109.03	3.7825	0.13000	0.65866	6.2809	7.2073
109.95	3.7825	0.13000	0.88744	4.6617	7.2073
110.08	3.7825	0.13000	1.0147	4.0769	7.2073
110.74	3.7825	0.13000	1.6355	2.5295	7.2073
111.00	3.7825	0.13000	1.7777	2.3272	7.2073
111.66	3.7825	0.13000	1.2320	3.3581	7.2073
111.92	3.7825	0.13000	0.56154	7.3673	7.2073
112.58	3.7825	0.13000	0.56379	7.3378	7.2073
112.71	3.7825	0.13000	1.8417	2.2464	7.2073
113.36	3.7825	0.13000	1.2267	3.3725	7.2073
114.28	3.7825	0.13000	0.36872	11.220	7.2073
115.07	3.7825	0.13000	0.42589	9.7137	7.2073
115.33	3.7825	0.13000	0.98145	4.2152	7.2073
115.99	3.7825	0.13000	1.2279	3.3690	7.2073
116.12	3.7825	0.13000	0.75935	5.4481	7.2073
117.57	3.7825	0.13000	0.88534	4.6728	7.2073
117.83	3.7825	0.13000	0.54849	7.5426	7.2073
119.27	3.7825	0.13000	0.85570	4.8346	7.2073
120.19	3.7825	0.13000	0.77083	5.3670	7.2073
120.33	3.7825	0.13000	0.64935	6.3710	7.2073
120.98	3.7825	0.13000	1.1356	3.6431	7.2073
121.25	3.7825	0.13000	0.87748	4.7146	7.2073
122.56	3.7825	0.13000	1.4869	2.7823	7.2073
122.82	3.7825	0.13000	0.77861	5.3133	7.2073
123.48	3.7825	0.13000	0.60651	6.8210	7.2073
123.74	3.7825	0.13000	0.85251	4.8527	7.2073
124.27	3.7825	0.13000	0.96909	4.2690	7.2073
124.53	3.7825	0.13000	0.50549	8.1842	7.2073
125.97	3.7825	0.13000	0.55388	7.4692	7.2073
126.24	3.7825	0.13000	0.27855	14.852	7.2073
127.03	3.7825	0.13000	0.10124	40.862	7.2073
127.68	3.7825	0.13000	0.84701	4.8842	7.2073
129.52	3.7825	0.13000	0.58669	7.0514	7.2073
130.05	3.7825	0.13000	0.54902	7.5352	7.2073
130.83	3.7825	0.13000	1.1844	3.4928	7.2073
131.10	3.7825	0.13000	0.33243	12.445	7.2073
132.02	3.7825	0.13000	0.55414	7.4657	7.2073
132.54	3.7825	0.13000	0.74821	5.5292	7.2073
134.12	3.7825	0.13000	0.21412	19.321	7.2073
134.38	3.7825	0.13000	0.16728	24.732	7.2073
135.04	3.7825	0.13000	0.86892	4.7611	7.2073
135.30	3.7825	0.13000	0.18107	22.847	7.2073
136.61	3.7825	0.13000	0.82856	4.9930	7.2073
136.88	3.7825	0.13000	0.19186	21.563	7.2073
137.53	3.7825	0.13000	0.72147	5.7341	7.2073
137.67	3.7825	0.13000	0.22496	18.390	7.2073
139.11	3.7825	0.13000	0.74058	5.5862	7.2073
139.37	3.7825	0.13000	0.51148	8.0883	7.2073
140.03	3.7825	0.13000	0.97607	4.2384	7.2073
140.16	3.7825	0.13000	0.38112	10.855	7.2073
141.74	3.7825	0.13000	0.18288	22.621	7.2073
142.53	3.7825	0.13000	0.78255	5.2866	7.2073
142.79	3.7825	0.13000	0.69512	5.9515	7.2073
144.36	3.7825	0.13000	0.10549	39.216	7.2073
145.02	3.7825	0.13000	0.11732	35.263	7.2073
145.81	3.7825	0.13000	0.89075	4.6444	7.2073
146.07	3.7825	0.13000	0.16097	25.700	7.2073
146.86	3.7825	0.13000	0.33290	12.427	7.2073
147.52	3.7825	0.13000	0.76431	5.4127	7.2073
148.44	3.7825	0.13000	0.66633	6.2086	7.2073
148.57	3.7825	0.13000	0.42282	9.7844	7.2073
149.22	3.7825	0.13000	0.36152	11.443	7.2073
149.36	3.7825	0.13000	0.32865	12.588	7.2073
150.14	3.7825	0.13000	0.80847	5.1171	7.2073
150.28	3.7825	0.13000	0.46092	8.9755	7.2073
152.51	3.7825	0.13000	0.72067	5.7405	7.2073
153.56	3.7825	0.13000	0.60093	6.8843	7.2073
155.00	3.7825	0.13000	1.3210	3.1317	7.2073
155.14	3.7825	0.13000	0.36100	11.460	7.2073
